No.,Pokemon,Biome,Excluded,Excluded Blocks,Time,Weather,Context,Preset,Requirements,Bucket,Weight,Lv. Min,Lv. Max,canseeSky
1,Bulbasaur,jungle,,"fire, soul_fire, lava, jack_o_lantern, campfire, soul_campfire, torch, wall_torch, soul_torch, wall_soul_torch, redstone_torch, redstone_wall_torch",day,clear,grounded,,"minX = 0, neededNearbyBlocks = flowering_azalea, neededBaseBlocks = moss_block",common,500.0,5,15,true
2,Ivysaur,jungle,,"fire, soul_fire, lava, jack_o_lantern, campfire, soul_campfire, torch, wall_torch, soul_torch, wall_soul_torch, redstone_torch, redstone_wall_torch",day,clear,grounded,,"minX = 0, neededNearbyBlocks = flowering_azalea, neededBaseBlocks = moss_block",uncommon,250.0,20,25,true
3,Venusaur,jungle,,"fire, soul_fire, lava, jack_o_lantern, campfire, soul_campfire, torch, wall_torch, soul_torch, wall_soul_torch, redstone_torch, redstone_wall_torch",day,clear,grounded,,"minX = 0, neededNearbyBlocks = flowering_azalea, neededBaseBlocks = moss_block",uncommon,250.0,35,45,true
4,Charmander,mountain,,water,day,clear,grounded,,"minZ = 0, neededNearbyBlocks = fire, soul_fire, campfire, soul_campfire, neededBaseBlocks = tuff",common,500.0,5,15,true
5,Charmeleon,mountain,,water,day,clear,grounded,,"minZ = 0, neededNearbyBlocks = fire, soul_fire, campfire, soul_campfire, neededBaseBlocks = tuff",uncommon,250.0,20,25,true
6,Charizard,mountain,,water,day,clear,grounded,,"minZ = 0, neededNearbyBlocks = fire, soul_fire, campfire, soul_campfire, neededBaseBlocks = tuff",uncommon,250.0,35,45,true
7,Squirtle,river,freezing,"grass, grass_block",day,any,grounded,,"maxZ = 0, neededNearbyBlocks = water, neededBaseBlocks = mud",common,500.0,5,15,true
8,Wartortle,river,freezing,"grass, grass_block",day,any,grounded,,"maxZ = 0, neededNearbyBlocks = water, neededBaseBlocks = mud",uncommon,250.0,20,25,true
9,Blastoise,river,freezing,"grass, grass_block",day,any,grounded,,"maxZ = 0, neededNearbyBlocks = water, neededBaseBlocks = mud",uncommon,250.0,20,25,true
133,Eevee,overworld,,,any,any,grounded,natural,,uncommon,1.0,5,20,true
152,Chikorita,floral,,,any,clear,grounded,natural,,ultra-rare,9.0,5,32,true
153,Bayleef,floral,,,any,clear,grounded,natural,,ultra-rare,0.9,16,40,true
154,Meganium,floral,,,any,clear,grounded,natural,,ultra-rare,0.1,32,52,true
155,Cyndaquil,crimson_forest,,,any,any,grounded,natural,,ultra-rare,9.0,5,31,ANY
155,Cyndaquil,temperate,spooky,,any,clear,grounded,natural,,ultra-rare,9.0,5,31,true
